Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,class
4.563,0.918,5.428,5.891,2.34,1.954,1.068,0.6348,2.41,-9999,5.347,4.819,one
4.529,0.9827,5.402,5.895,2.39,2.097,1.097,0.5774,2.375,5.11,5.524,5.319,one
4.711,0.9631,5.736,5.897,2.371,2.068,0.9717,0.6116,2.422,5.029,5.354,5.728,one
4.485,1.002,5.685,5.937,2.307,2.065,1.046,0.5359,2.33,5.005,5.399,4.922,one
4.645,0.8838,5.377,5.803,2.393,2.108,1.028,0.6116,2.393,5.192,5.266,4.878,one
4.595,1.084,5.731,5.874,2.299,2.05,1.056,0.6152,2.363,5,5.255,5.818,one
4.504,0.8521,5.645,5.914,2.334,2.107,1.099,0.5298,2.198,4.923,5.359,4.825,one
4.44,1.047,5.338,5.861,2.301,2.144,0.9485,0.5859,2.336,5.133,5.509,4.952,one
4.432,0.9375,5.887,5.868,2.352,2.096,0.9729,0.5969,2.363,5.131,5.476,5.746,one
4.54,1.005,5.675,5.862,2.231,2.01,1.101,0.6909,2.371,5.01,5.276,5.488,one
4.656,1.029,5.652,5.916,2.341,2.08,1.021,0.6812,2.311,4.998,-9999,5.677,one
4.636,0.9265,5.638,5.854,2.29,2.072,1.006,0.5713,2.324,5.156,5.53,5.244,one
4.425,0.9534,5.658,5.859,2.308,2.142,1.068,0.481,2.349,-9999,5.411,5.317,one
4.49,0.9668,5.424,5.916,2.288,2.025,1.024,0.5261,2.301,5.247,5.417,-9999,one
4.562,1.003,5.422,5.847,2.139,2.036,1.005,0.5811,2.361,4.923,5.291,5.541,one
4.65,0.9961,5.636,5.813,2.096,2.155,1.023,0.5066,2.275,5.039,5.344,4.775,one
4.617,1.016,5.465,5.864,2.223,1.991,0.9973,0.6628,2.394,5.133,5.461,5.554,one
4.546,0.9644,5.592,5.933,2.263,2.039,1.133,0.5786,2.288,4.913,5.309,5.624,one
4.362,0.968,5.713,5.82,2.244,2.015,1.066,0.553,2.308,5.084,5.45,5.573,one
4.438,0.9534,5.381,5.852,2.311,2.041,0.9924,0.5432,2.402,4.988,5.458,5.117,one
4.501,0.9985,5.404,5.845,2.113,2.039,0.957,0.6714,2.209,4.991,5.521,5.333,one
4.42,0.9155,5.67,5.854,2.266,1.996,1.077,0.6006,2.406,5.048,5.432,5.457,one
1.207,2.214,2.908,2.531,0.2515,0.2173,0.1819,0.1428,0.1562,0.9436,0.9546,5.453,one
1.257,2.251,2.9,2.567,0.1794,0.2112,0.1978,0.04517,0.3577,0.9766,1.096,5.737,one
